record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,ils_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123,changed_field_count,changed_fields
S,EEU,D,,ZSNB,ZS,,ILL,ZS,11090,IT N,,,ILL,N29491677,E121282625,,00030,0,,083,WGE,LISHE,S,Simulation application continuation,UN,W0062,00030,74053,2111,SEEUD ZSNBZS ILL   ZS111090 IT N                   ILL N29491677E121282625     000300  083WGELISHE                         ,SEEUD ZSNBZS ILL   ZS2S    UN                                             W006200030                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSNJ,ZS,,IMI,ZS,11030,IT N,,,IMI,N31440992,E118505236,,00056,0,,132,WGE,LUKOU,S,Simulation application continuation,UN,W0062,00056,74057,2210,SEEUD ZSNJZS IMI   ZS111030 IT N                   IMI N31440992E118505236     000560  132WGELUKOU                         ,SEEUD ZSNJZS IMI   ZS2S    UN                                             W006200056                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSNJ,ZS,,IPX,ZS,11130,IT N,,,IPX,N31434187,E118524188,,00052,0,,123,WGE,LUKOU,S,Simulation application continuation,UN,W0062,00052,74059,2210,SEEUD ZSNJZS IPX   ZS111130 IT N                   IPX N31434187E118524188     000520  123WGELUKOU                         ,SEEUD ZSNJZS IPX   ZS2S    UN                                             W006200052                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSPD,ZS,,IHL,ZS,11150,IT N,,,IHL,N31092569,E121485754,,00020,0,,090,WGE,PUDONG,S,Simulation application continuation,UN,W0066,00020,74073,2210,SEEUD ZSPDZS IHL   ZS111150 IT N                   IHL N31092569E121485754     000200  090WGEPUDONG                        ,SEEUD ZSPDZS IHL   ZS2S    UN                                             W006600020                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSPD,ZS,,IZZ,ZS,10870,IT N,,,IZZ,N31092378,E121485032,,00013,0,,201,WGE,PUDONG,S,Simulation application continuation,UU,W0066,00013,74081,1904,SEEUD ZSPDZS IZZ   ZS110870 IT N                   IZZ N31092378E121485032     000130  201WGEPUDONG                        ,SEEUD ZSPDZS IZZ   ZS2S    UU                                             W006600013                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSQD,ZS,,IIN,ZS,10855,IT N,,,IIN,N36211185,E120062009,,00036,0,,310,WGE,JIAODONG,S,Simulation application continuation,UN,W0076,00036,74085,2108,SEEUD ZSQDZS IIN   ZS110855 IT N                   IIN N36211185E120062009     000360  310WGEJIAODONG                      ,SEEUD ZSQDZS IIN   ZS2S    UN                                             W007600036                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSQD,ZS,,IQD,ZS,11015,IT N,,,IQD,N36220503,E120041710,,00036,0,,540,WGE,JIAODONG,S,Simulation application continuation,UN,W0076,00036,74087,2108,SEEUD ZSQDZS IQD   ZS111015 IT N                   IQD N36220503E120041710     000360  540WGEJIAODONG                      ,SEEUD ZSQDZS IQD   ZS2S    UN                                             W007600036                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSQD,ZS,,IQX,ZS,10975,IT N,,,IQX,N36203258,E120045348,,00039,0,,,WGE,JIAODONG,S,Simulation application continuation,UN,W0076,00039,74089,2108,SEEUD ZSQDZS IQX   ZS110975 IT N                   IQX N36203258E120045348     000390     WGEJIAODONG                      ,SEEUD ZSQDZS IQX   ZS2S    UN                                             W007600039                                       ,3,"sim_cont_sim_magnetic_variation,sim_cont_sim_file_record_number,sim_cont_1_123"
S,EEU,D,,ZSWZ,ZS,,IKN,ZS,11030,IT N,,,IKN,N27535186,E120504957,,00039,0,,133,WGE,LONGWAN,S,Simulation application continuation,UN,W0056,00039,74119,2507,SEEUD ZSWZZS IKN   ZS111030 IT N                   IKN N27535186E120504957     000390  133WGELONGWAN                       ,SEEUD ZSWZZS IKN   ZS2S    UN                                             W005600039                                       ,5,"dme_latitude,dme_longitude,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,D,,ZSWZ,ZS,,IWZ,ZS,10870,IT N,,,IWZ,N27550550,E120513406,,00039,0,,186,WGE,LONGWAN,S,Simulation application continuation,UN,W0056,00039,74121,2507,SEEUD ZSWZZS IWZ   ZS110870 IT N                   IWZ N27550550E120513406     000390  186WGELONGWAN                       ,SEEUD ZSWZZS IWZ   ZS2S    UN                                             W005600039                                       ,4,"dme_longitude,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
S,EEU,D,,ZULS,ZU,,IGA,ZU,10870,IT N,,,IGA,N29181001,E090553320,,11732,0,,231,WGE,KONGGAR,S,Simulation application continuation,UN,W0001,11732,74169,2506,SEEUD ZULSZU IGA   ZU110870 IT N                   IGA N29181001E090553320     117320  231WGEKONGGAR                       ,SEEUD ZULSZU IGA   ZU2S    UN                                             W000111732                                       ,4,"vor_name,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123"
