record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,sim_cont_appl_code,sim_cont_appl_label,sim_cont_sim_facility_characteristics,sim_cont_sim_magnetic_variation,sim_cont_sim_facility_elevation,sim_cont_sim_file_record_number,sim_cont_sim_cycle_date,primary_1_123,sim_cont_1_123
S,EEU,P,G,EPKR,RW29L,03609,2870,N49403800,E021450700,,00928,0000,40,098,,,S,Simulation application continuation,,,,15892,1804,SEEUP EPKREPGRW29L   1036092870 N49403800E021450700               00928000040098      0000                                 ,SEEUP EPKREPGRW29L   2S                            29100Y        A00928                                                    
S,EEU,P,G,EPKS,RW11,08202,1130,N52201377,E016570167,+0024,00272,0000,50,197,,,S,Simulation application continuation,,,,16055,2105,SEEUP EPKSEPGRW11    1082021130 N52201377E016570167+0024          00272000050197      0489                                 ,SEEUP EPKSEPGRW11    2S                            11800Y        T00272                                                    
S,EEU,P,G,EPKS,RW29,08202,2930,N52193615,E016585779,-0024,00274,0000,50,197,IKS,,S,Simulation application continuation,,,,16057,2105,SEEUP EPKSEPGRW29    1082022930 N52193615E016585779-0024          00274000050197 IKS  0489                                 ,SEEUP EPKSEPGRW29    2S                            29800Y        L00274                                                    
S,EEU,P,G,EPKT,RW08,10499,0840,N50283378,E019033445,,00971,0000,50,148,,,S,Simulation application continuation,,,,16432,2412,SEEUP EPKTEPGRW08    1104990840 N50283378E019033445         +0336100971000050148      1050                                 ,SEEUP EPKTEPGRW08    2S                            09018Y        T00981                                                    
S,EEU,P,G,EPKT,RW26,10499,2640,N50283346,E019060050,,01004,1050,52,148,IKTO,,S,Simulation application continuation,,,,16434,2412,SEEUP EPKTEPGRW26    1104992640 N50283346E019060050         +0346201004105052148 IKTO 0000                                 ,SEEUP EPKTEPGRW26    2S                            27021Y        T01001                                                    
S,EEU,P,G,EPKW,RW13,03107,1280,N49564000,E019005300,,00827,0000,40,079,,,S,Simulation application continuation,,,,16452,2201,SEEUP EPKWEPGRW13    1031071280 N49564000E019005300               00827000040079      0000                                 ,SEEUP EPKWEPGRW13    2S                            13300Y        L00827                                                    
S,EEU,P,G,EPKW,RW31,03107,3080,N49562000,E019012700,,00836,0108,40,079,,,S,Simulation application continuation,,,,16454,2201,SEEUP EPKWEPGRW31    1031073080 N49562000E019012700               00836010840079      0000                                 ,SEEUP EPKWEPGRW31    2S                            31300Y        L00836                                                    
S,EEU,P,G,EPLB,RW07,08268,0710,N51141552,E022414537,,00632,0000,50,148,,,S,Simulation application continuation,,,,16637,2504,SEEUP EPLBEPGRW07    1082680710 N51141552E022414537         +0223800632000050148      0000                                 ,SEEUP EPLBEPGRW07    2S                            07707Y        L00632                                                    
S,EEU,P,G,EPLB,RW25,08268,2510,N51143368,E022435202,,00627,0000,58,148,ISWI,,S,Simulation application continuation,,,,16639,2504,SEEUP EPLBEPGRW25    1082682510 N51143368E022435202         +0221800627000058148 ISWI 0000                                 ,SEEUP EPLBEPGRW25    2S                            25707Y        T00629                                                    
S,EEU,P,G,EPLK,RW10,09843,1010,N51331807,E019094271,,00618,0000,53,197,LSK,,S,Simulation application continuation,,,,16715,2402,SEEUP EPLKEPGRW10    1098431010 N51331807E019094271               00618000053197 LSK  0492                                 ,SEEUP EPLKEPGRW10    2S                            10722Y        T00622                                                    
