record_type,area_code,sec,blank_6,icao,icao_code,sub,communications_type,communications_frequency,guard_transmit,frequency_units,cont_no_column_26,service_indicator,radar_service,modulation,signal_emission,latitude,longitude,magnetic_variation,facility_elevation,h24_indicator,sectorization,altitude_description,communication_altitude_1,communication_altitude_2,sector_facility,sector_facility_icao,sector_facility_section,sector_facility_subsection,distance_description,communications_distance,remote_facility,remote_facility_icao,remote_facility_section,remote_facility_subsection,call_sign,sim_cont_appl_code,sim_cont_appl_label,cont#3_appl_code,cont#3_appl_label,cont#4_appl_code,cont#4_appl_label,cont#5_appl_code,cont#5_appl_label,primary_1_123,sim_cont_1_123,cont#3_1_123,cont#4_1_123,cont#5_1_123
S,EEU,P,,UTNN,UT,V,TWR,0129000,,V,0,,N,A,,N42292116,E059372188,E0070,00249,Y,,,,,,,,,,00,,,,,NUKUS,,,,,,,,,SEEUP UTNNUTVTWR0129000 V0   NA N42292116E059372188E007000249Y                          00        NUKUS                    ,,,,
S,EEU,P,,UTNU,UT,V,APP,0126000,,V,0,,R,A,,N41345700,E060383700,E0060,00322,Y,,,,,,,,,,00,,,,,URGENCH,,,,,,,,,SEEUP UTNUUTVAPP0126000 V0   RA N41345700E060383700E006000322Y                          00        URGENCH                  ,,,,
S,EEU,P,,UTNU,UT,V,APP,0133000,,V,0,,R,A,,N41345700,E060383700,E0060,00322,Y,,,,,,,,,,00,,,,,URGENCH,,,,,,,,,SEEUP UTNUUTVAPP0133000 V0   RA N41345700E060383700E006000322Y                          00        URGENCH                  ,,,,
S,EEU,P,,UTNU,UT,V,OPS,0131800,,V,0,L,N,A,,N41345700,E060383700,E0060,00322,Y,,,,,,,,,,00,,,,,URGENCH TRANZIT,,,,,,,,,SEEUP UTNUUTVOPS0131800 V0  LNA N41345700E060383700E006000322Y                          00        URGENCH TRANZIT          ,,,,
S,EEU,P,,UTNU,UT,V,TWR,0118300,,V,0,D,R,A,,N41345700,E060383700,E0060,00322,Y,,,,,,,,,,00,,,,,URGENCH,,,,,,,,,SEEUP UTNUUTVTWR0118300 V0  DRA N41345700E060383700E006000322Y                          00        URGENCH                  ,,,,
S,EEU,P,,UTSA,UT,V,APP,0124600,,V,0,,R,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA,,,,,,,,,SEEUP UTSAUTVAPP0124600 V0   RA N39463102E064285620E005000751Y                          00        BUKHARA                  ,,,,
S,EEU,P,,UTSA,UT,V,OPS,0131200,,V,0,L,N,A,,N40070245,E065101645,E0060,01142,Y,,,,,,,,,,00,,,,,NAVOI TRANSIT,,,,,,,,,SEEUP UTSAUTVOPS0131200 V0  LNA N40070245E065101645E006001142Y                          00        NAVOI TRANSIT            ,,,,
S,EEU,P,,UTSA,UT,V,TWR,0132000,,V,0,,N,A,,N40070245,E065101645,E0060,01142,Y,,,,,,,,,,00,,,,,NAVOI,,,,,,,,,SEEUP UTSAUTVTWR0132000 V0   NA N40070245E065101645E006001142Y                          00        NAVOI                    ,,,,
S,EEU,P,,UTSB,UT,V,APP,0124600,,V,0,,R,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA,,,,,,,,,SEEUP UTSBUTVAPP0124600 V0   RA N39463102E064285620E005000751Y                          00        BUKHARA                  ,,,,
S,EEU,P,,UTSB,UT,V,APP,0133000,,V,0,,R,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA,,,,,,,,,SEEUP UTSBUTVAPP0133000 V0   RA N39463102E064285620E005000751Y                          00        BUKHARA                  ,,,,
S,EEU,P,,UTSB,UT,V,OPS,0131900,,V,0,,N,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA TRANZIT,,,,,,,,,SEEUP UTSBUTVOPS0131900 V0   NA N39463102E064285620E005000751Y                          00        BUKHARA TRANZIT          ,,,,
S,EEU,P,,UTSB,UT,V,TWR,0120100,,V,0,D,N,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA,,,,,,,,,SEEUP UTSBUTVTWR0120100 V0  DNA N39463102E064285620E005000751Y                          00        BUKHARA                  ,,,,
S,EEU,P,,UTSB,UT,V,TWR,0129000,,V,0,,N,A,,N39463102,E064285620,E0050,00751,Y,,,,,,,,,,00,,,,,BUKHARA,,,,,,,,,SEEUP UTSBUTVTWR0129000 V0   NA N39463102E064285620E005000751Y                          00        BUKHARA                  ,,,,
S,EEU,P,,UTSK,UT,V,TWR,0120300,,V,1,S,N,A,,N38480863,E065462319,E0050,01232,N,,,,,,,,,,00,,,,,KARSHI,,,,,,,,,SEEUP UTSKUTVTWR0120300 V1 S NA N38480863E065462319E005001232N                          00        KARSHI                   ,SEEUP UTSKUTVTWR0120300 V2 N  DURING HOURS OF SCHEDULED OPERATIONS                                                         ,,,
S,EEU,P,,UTSK,UT,V,TWR,0124400,,V,1,,N,A,,N38480863,E065462319,E0050,01232,N,,,,,,,,,,00,,,,,KARSHI,,,,,,,,,SEEUP UTSKUTVTWR0124400 V1   NA N38480863E065462319E005001232N                          00        KARSHI                   ,SEEUP UTSKUTVTWR0124400 V2 N  DURING HOURS OF SCHEDULED OPERATIONS                                                         ,,,
S,EEU,P,,UTSS,UT,V,APP,0123700,,V,0,,R,A,,N39420595,E066585678,E0050,02223,Y,,,,,,,,,,00,,,,,SAMARKAND,,,,,,,,,SEEUP UTSSUTVAPP0123700 V0   RA N39420595E066585678E005002223Y                          00        SAMARKAND                ,,,,
S,EEU,P,,UTSS,UT,V,ATI,0127800,T,V,0,,N,A,,N39420595,E066585678,E0050,02223,Y,,,,,,,,,,00,,,,,,,,,,,,,,SEEUP UTSSUTVATI0127800TV0   NA N39420595E066585678E005002223Y                          00                                 ,,,,
S,EEU,P,,UTSS,UT,V,OPS,0131700,,V,0,L,N,A,,N39420595,E066585678,E0050,02223,Y,,,,,,,,,,00,,,,,TRANSIT,,,,,,,,,SEEUP UTSSUTVOPS0131700 V0  LNA N39420595E066585678E005002223Y                          00        TRANSIT                  ,,,,
S,EEU,P,,UTSS,UT,V,TWR,0118700,,V,0,D,R,A,,N39420595,E066585678,E0050,02223,Y,,,,,,,,,,00,,,,,SAMARKAND,,,,,,,,,SEEUP UTSSUTVTWR0118700 V0  DRA N39420595E066585678E005002223Y                          00        SAMARKAND                ,,,,
S,EEU,P,,UTST,UT,V,OPS,0131225,,V,0,,N,A,,N37171496,E067182907,E0040,01028,Y,,,,,,,,,,00,,,,,TERMEZ TRANZIT,,,,,,,,,SEEUP UTSTUTVOPS0131225 V0   NA N37171496E067182907E004001028Y                          00        TERMEZ TRANZIT           ,,,,
S,EEU,P,,UTST,UT,V,TWR,0118600,,V,0,D,R,A,,N37171496,E067182907,E0040,01028,Y,,,,,,,,,,00,,,,,TERMEZ,,,,,,,,,SEEUP UTSTUTVTWR0118600 V0  DRA N37171496E067182907E004001028Y                          00        TERMEZ                   ,,,,
