record_type,area_code,sec,icao,icao_code,sub,localizer_identifier,ils_category,localizer_frequency,runway_identifier,localizer_latitude,localizer_longitude,localizer_bearing,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_position_reference,glide_slope_position,localizer_width,glide_slope_angle,station_declination,glide_slope_height_lthr,glide_slope_elevation,supporting_facility_id,supporting_facility_icao,supporting_facility_section,supporting_facility_subsection,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123,changed_field_count,changed_fields
S,CAN,P,CYZF,CY,I,IZF,1,10950,RW34,N62282884,W114263898,3400,N62271872,W114261980,0516,,0850,0000,300,E0160,56,00669,,,,,SCANP CYZFCYIIZF 1   110950RW34 N62282884W1142638983400N62271872W1142619800516 08500000300E01605600669                     ,S,Simulation application continuation,SCANP CYZFCYIIZF 1   2S    U  N                    35600N                              140                                 ,2,"glide_slope_height_lthr,primary_1_123"
S,CAN,P,CYZV,CY,I,IZV,1,10950,RW09,N50133013,W066145271,0860,N50130297,W066162531,1165,,1077,0000,300,W0180,60,00165,,,,,SCANP CYZVCYIIZV 1   110950RW09 N50133013W0661452710860N50130297W0661625311165 10770000300W01806000165                     ,S,Simulation application continuation,SCANP CYZVCYIIZV 1   2S    U  N                    06800N                              140                                 ,3,"glide_slope_position,glide_slope_height_lthr,primary_1_123"
S,CAN,P,PAKT,PA,I,IECH,1,10930,RW11,N55204101,W131414253,1150,N55213288,W131431785,1030,,0914,0470,300,E0210,50,00082,,,,,SCANP PAKTPAIIECH1   110930RW11 N55204101W1314142531150N55213288W1314317851030 09140470300E02105000082                     ,S,Simulation application continuation,SCANP PAKTPAIIECH1   2S    U  Y                    13600N                              140                                 ,2,"glide_slope_height_lthr,primary_1_123"
S,CAN,P,PAMC,PA,I,IMCG,0,10850,RW17,N62564685,W155362402,1690,,,1240,-,,0000,,E0120,,,,,,,SCANP PAMCPAIIMCG0   110850RW17 N62564685W1553624021690                   1240-    0000   E0120                            ,S,Simulation application continuation,SCANP PAMCPAIIMCG0   2S    U  U                    18100N                                                                  ,6,"runway_identifier,localizer_longitude,localizer_bearing,localizer_width,station_declination,primary_1_123"
S,CAN,P,PANC,PA,I,IANC,3,11130,RW07R,N61100439,W149575550,0740,N61100819,W150021247,1277,,1074,0000,300,E0160,55,00125,,,,,SCANP PANCPAIIANC3   111130RW07RN61100439W1495755500740N61100819W1500212471277 10740000300E01605500125                     ,S,Simulation application continuation,SCANP PANCPAIIANC3   2S    U  U                    09000N                              140                                 ,4,"glide_slope_latitude,glide_slope_longitude,glide_slope_elevation,primary_1_123"
S,CAN,P,PANC,PA,I,IBSC,1,11175,RW15,N61095992,W149594564,1490,N61114675,W150005442,1665,,1176,0000,320,E0160,58,00143,,,,,SCANP PANCPAIIBSC1   111175RW15 N61095992W1495945641490N61114675W1500054421665 11760000320E01605800143                     ,S,Simulation application continuation,SCANP PANCPAIIBSC1   2S    U  U                    16500N                              140                                 ,5,"glide_slope_latitude,localizer_width,glide_slope_elevation,primary_1_123,cont#2_1_123"
S,CAN,P,PANC,PA,I,ITGN,1,10990,RW07L,N61101134,W149563264,0740,N61101394,W150000957,1042,,1000,0000,300,E0160,54,00124,,,,,SCANP PANCPAIITGN1   110990RW07LN61101134W1495632640740N61101394W1500009571042 10000000300E01605400124                     ,S,Simulation application continuation,SCANP PANCPAIITGN1   2S    U  U                    09000N                              140                                 ,8,"localizer_latitude,localizer_longitude,glide_slope_latitude,glide_slope_longitude,localizer_position,localizer_width,glide_slope_elevation,primary_1_123"
S,EEU,P,EPGD,EP,I,IGDA,3,11030,RW29,N54225630,E018264930,2860,N54221780,E018290830,1162,,1215,0500,300,E0070,53,00500,,,,,SEEUP EPGDEPIIGDA3   111030RW29 N54225630E0182649302860N54221780E0182908301162 12150500300E00705300500                     ,S,Simulation application continuation,SEEUP EPGDEPIIGDA3   2S    U  N                    29300N                              140                                 ,3,"localizer_bearing,station_declination,primary_1_123"
S,EEU,P,EPLL,EP,I,LOD,1,11050,RW25,N51425590,E019220840,2450,N51432480,E019240160,0766,,1276,0000,300,E0060,50,00600,,,,,SEEUP EPLLEPILOD 1   111050RW25 N51425590E0192208402450N51432480E0192401600766 12760000300E00605000600                     ,S,Simulation application continuation,SEEUP EPLLEPILOD 1   2S    U  N                    25100N                              140                                 ,2,"glide_slope_longitude,primary_1_123"
S,EEU,P,EPWA,EP,I,WAS,2,10990,RW11,N52093820,E020590750,1080,N52101620,E020570590,0365,,1033,0000,300,E0060,53,00400,,,,,SEEUP EPWAEPIWAS 2   110990RW11 N52093820E0205907501080N52101620E0205705900365 10330000300E00605300400                     ,S,Simulation application continuation,SEEUP EPWAEPIWAS 2   2S    U  N                    11400N                              140                                 ,2,"localizer_position,primary_1_123"
