record_type,area_code,sec,sub,icao,runway_id,rwy_length_ft,rwy_mag_brg_tenths,lat_raw,lon_raw,rwy_grad_pct100,lthr_elev_ft,dthr_ft,tch_raw,rwy_width_ft,loc_mls_gls_ident,loc_cat_class,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,P,G,EDFR,RW21,03117,2050,N49233342,E010131684,,01309,0000,40,066,,,SEURP EDFREDGRW21    1031172050 N49233342E010131684               01309000040066      0000                                 ,S,Simulation application continuation,SEURP EDFREDGRW21    2S                            20800N        A01309                                                    
S,EUR,P,G,EDNR,RW10,02116,0950,N49083313,E012043831,,01298,0000,40,049,,,SEURP EDNREDGRW10    1021160950 N49083313E012043831               01298000040049      0000                                 ,S,Simulation application continuation,SEURP EDNREDGRW10    2S                            09800N        L01298                                                    
S,EUR,P,G,EDNR,RW28,02116,2750,N49082949,E012050953,,01274,0000,40,049,,,SEURP EDNREDGRW28    1021162750 N49082949E012050953               01274000040049      0000                                 ,S,Simulation application continuation,SEURP EDNREDGRW28    2S                            27800N        L01274                                                    
S,EUR,P,G,EDRF,RW08,01969,0750,N49282039,E008113262,,00351,0000,40,066,,,SEURP EDRFEDGRW08    1019690750 N49282039E008113262               00351000040066      0000                                 ,S,Simulation application continuation,SEURP EDRFEDGRW08    2S                            07700N        A00351                                                    
S,EUR,P,G,EDRF,RW26,01969,2550,N49282401,E008115599,,00351,0394,40,066,,,SEURP EDRFEDGRW26    1019692550 N49282401E008115599               00351039440066      0000                                 ,S,Simulation application continuation,SEURP EDRFEDGRW26    2S                            25700N        A00351                                                    
S,EUR,P,G,EDUS,RW09,03937,0850,N51362628,E013434452,,00399,0000,40,098,,,SEURP EDUSEDGRW09    1039370850 N51362628E013434452               00399000040098      0000                                 ,S,Simulation application continuation,SEURP EDUSEDGRW09    2S                            08900N        A00399                                                    
S,EUR,P,G,EDUS,RW27,03937,2650,N51362721,E013444683,,00399,0000,40,098,,,SEURP EDUSEDGRW27    1039372650 N51362721E013444683               00399000040098      0000                                 ,S,Simulation application continuation,SEURP EDUSEDGRW27    2S                            26900N        A00399                                                    
S,EUR,P,G,EDXH,RW03,01217,0250,N54110451,E007545179,,00008,0000,40,066,,,SEURP EDXHEDGRW03    1012170250 N54110451E007545179               00008000040066      0000                                 ,S,Simulation application continuation,SEURP EDXHEDGRW03    2S                            02700N        A00008                                                    
S,EUR,P,G,EDXH,RW21,01217,2050,N54111669,E007550222,,00008,0000,40,066,,,SEURP EDXHEDGRW21    1012172050 N54111669E007550222               00008000040066      0000                                 ,S,Simulation application continuation,SEURP EDXHEDGRW21    2S                            20700N        A00008                                                    
S,EUR,P,G,EGCN,RW02,09495,0180,N53275111,W001003617,,00052,0502,53,197,IFIN,,SEURP EGCNEGGRW02    1094950180 N53275111W001003617         +0063800052050253197 IFIN 0000                                 ,S,Simulation application continuation,SEURP EGCNEGGRW02    2S                            01765Y        T00052                                                    
