record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EUR,D,,,,,KRH,ED,11595,VDHW,N48593460,E008350325,,N48593460,E008350325,E0020,00909,2,,291,WGE,KARLSRUHE,SEURD        KRH   ED111595VDHW N48593460E008350325    N48593460E008350325E0020009092  291WGEKARLSRUHE                     ,S,Simulation application continuation,SEURD        KRH   ED2S    UN                                             E0036                                            
S,EUR,D,,,,,KRK,LG,11470,VDHW,N39263789,E020042199,,N39263789,E020042199,E0050,00033,2,,398,WGE,KERKIRA,SEURD        KRK   LG111470VDHW N39263789E020042199    N39263789E020042199E0050000332  398WGEKERKIRA                       ,S,Simulation application continuation,SEURD        KRK   LG2S    UN                                             E004800033                                       
S,EUR,D,,,,,KRM,EN,11515,VDHW,N59204769,E005120671,,N59204769,E005120671,E0010,00103,2,,487,WGE,KARMOY (HAUGESUND),SEURD        KRM   EN111515VDHW N59204769E005120671    N59204769E005120671E0010001032  487WGEKARMOY (HAUGESUND)            ,S,Simulation application continuation,SEURD        KRM   EN2S    UN                                             E002600103                                       
S,EUR,D,,,,,KRO,LG,11220,VDHW,N37593890,E024294167,,N37593890,E024294167,E0050,02023,2,,289,WGE,KARISTOS,SEURD        KRO   LG111220VDHW N37593890E024294167    N37593890E024294167E0050020232  289WGEKARISTOS                      ,S,Simulation application continuation,SEURD        KRO   LG2S    UN                                             E005202023                                       
S,EUR,D,,,,,KRO,LS,10915,DH,,,KRO,N47173010,E009193990,,05489,2,,348,WGE,KRONBERG,SEURD        KRO   LS110915 DH                     KRO N47173010E009193990     054892  348WGEKRONBERG                      ,S,Simulation application continuation,SEURD        KRO   LS2S    UN                                             E0037                                            
S,EUR,D,,,,,KRV,LY,11630,VDL,N43491640,E020350400,,N43491670,E020350440,E0050,00700,1,,349,WGE,KRALJEVO,SEURD        KRV   LY111630VDL  N43491640E020350400    N43491670E020350440E0050007001  349WGEKRALJEVO                      ,S,Simulation application continuation,SEURD        KRV   LY2S    UN                                             E005400700                                       
S,EUR,D,,,,,KSD,ES,11780,VDH,N59263280,E013195360,,N59263280,E013195360,E0050,00341,2,,508,WGE,KARLSTAD,SEURD        KSD   ES111780VDH  N59263280E013195360    N59263280E013195360E0050003412  508WGEKARLSTAD                      ,S,Simulation application continuation,SEURD        KSD   ES2S    UN                                             E005900341                                       
S,EUR,D,,,,,KTH,LG,11380,VDH,N36163674,E023010064,,N36163674,E023010064,E0050,01062,2,,307,WGE,KITHIRA,SEURD        KTH   LG111380VDH  N36163674E023010064    N36163674E023010064E0050010622  307WGEKITHIRA                       ,S,Simulation application continuation,SEURD        KTH   LG2S    UN                                             E0048                                            
S,EUR,D,,,,,KTR,LG,10940,TH,,,KTR,N36181320,E022570600,E0040,01250,2,,273,WGE,KITHIRA,SEURD        KTR   LG110940 TH                     KTR N36181320E022570600E0040012502  273WGEKITHIRA                       ,S,Simulation application continuation,SEURD        KTR   LG2S    UU                                             E0048                                            
S,EUR,D,,,,,KVB,EN,11380,VDHW,N63070528,E007483794,,N63070528,E007483794,E0030,00685,2,,476,WGE,KVERNBERGET (KRISTIANSUND),SEURD        KVB   EN111380VDHW N63070528E007483794    N63070528E007483794E0030006852  476WGEKVERNBERGET (KRISTIANSUND)    ,S,Simulation application continuation,SEURD        KVB   EN2S    UN                                             E003900685                                       
