record_type,area_code,sec,subsection_code,airport_icao,icao_code,sub,vor_ident,navaid_icao_code,vor_frequency,navaid_class,vor_latitude,vor_longitude,dme_ident,dme_latitude,dme_longitude,station_declination,dme_elevation,figure_of_merit,ils_dme_bias,frequency_protection,datum_code,vor_name,primary_1_123,cont#2_appl_code,cont#2_appl_label,cont#2_1_123
S,EEU,D,,,,,BLZ,UL,11040,VDHW,N60010200,E037451900,,N60010200,E037451900,E0130,00459,2,,411,WGE,BELOZERSK,SEEUD        BLZ   UL111040VDHW N60010200E037451900    N60010200E037451900E0130004592  411WGEBELOZERSK                     ,S,Simulation application continuation,SEEUD        BLZ   UL2S    UN                                             E014400459                                       
S,EEU,D,,,,,BMK,UW,11340,VDHW,N54154670,E048133180,,N54154670,E048133180,E0130,00400,2,,407,WGE,ULYANOVSK-BARATAYEVKA,SEEUD        BMK   UW111340VDHW N54154670E048133180    N54154670E048133180E0130004002  407WGEULYANOVSK-BARATAYEVKA         ,S,Simulation application continuation,SEEUD        BMK   UW2S    UN                                             E013000400                                       
S,EEU,D,,,,,BNN,ZP,11630,VDHW,N21584800,E100451800,,N21584800,E100451800,W0010,01837,2,,266,WGE,XISHUANGBANNA,SEEUD        BNN   ZP111630VDHW N21584800E100451800    N21584800E100451800W0010018372  266WGEXISHUANGBANNA                 ,S,Simulation application continuation,SEEUD        BNN   ZP2S    UN                                             W001201837                                       
S,EEU,D,,,,,BNO,LK,11445,VDH,N49090023,E016413329,,N49090023,E016413329,E0050,00800,2,,318,WGE,BRNO,SEEUD        BNO   LK111445VDH  N49090023E016413329    N49090023E016413329E0050008002  318WGEBRNO                          ,S,Simulation application continuation,SEEUD        BNO   LK2S    UN                                             E005400800                                       
S,EEU,D,,,,,BNU,UA,11500,VDHW,N45202300,E055072100,,N45202300,E055072100,E0070,00001,2,,369,WGE,BEINEU,SEEUD        BNU   UA111500VDHW N45202300E055072100    N45202300E055072100E0070000012  369WGEBEINEU                        ,S,Simulation application continuation,SEEUD        BNU   UA2S    UY                                             E0084                                            
S,EEU,D,,,,,BRP,UK,11590,VDHW,N50170850,E030540350,,N50170850,E030540350,E0070,00423,2,,481,WGE,BORYSPIL (KYIV),SEEUD        BRP   UK111590VDHW N50170850E030540350    N50170850E030540350E0070004232  481WGEBORYSPIL (KYIV)               ,S,Simulation application continuation,SEEUD        BRP   UK2S    UN                                             E008400423                                       
S,EEU,D,,,,,BRT,UI,11360,VDHW,N56221950,E101410890,,N56221950,E101410890,W0020,01575,2,,,WGE,BRATSK,SEEUD        BRT   UI111360VDHW N56221950E101410890    N56221950E101410890W0020015752     WGEBRATSK                        ,S,Simulation application continuation,SEEUD        BRT   UI2S    UN                                             W003201575                                       
S,EEU,D,,,,,BRT,UM,11375,VDH,N52063370,E023531570,,N52063370,E023531570,E0070,00500,2,,493,WGE,BREST,SEEUD        BRT   UM111375VDH  N52063370E023531570    N52063370E023531570E0070005002  493WGEBREST                         ,S,Simulation application continuation,SEEUD        BRT   UM2S    UU                                             E007600500                                       
S,EEU,D,,,,,BRV,LR,11760,VDHW,N45340300,E025335300,,N45340300,E025335300,E0060,05900,2,,439,WGE,BRASOV,SEEUD        BRV   LR111760VDHW N45340300E025335300    N45340300E025335300E0060059002  439WGEBRASOV                        ,S,Simulation application continuation,SEEUD        BRV   LR2S    UN                                             E006405900                                       
S,EEU,D,,,,,BSE,ZG,11590,VDHW,N23552400,E106360600,,N23552400,E106360600,W0020,00620,2,,412,WGE,BOSE,SEEUD        BSE   ZG111590VDHW N23552400E106360600    N23552400E106360600W0020006202  412WGEBOSE                          ,S,Simulation application continuation,SEEUD        BSE   ZG2S    UN                                             W002200620                                       
S,EEU,D,,,,,BT,UU,11190,DH,,,BT,N55340900,E044522500,,00394,2,,222,WGE,BUTURLINO,SEEUD        BT    UU111190 DH                     BT  N55340900E044522500     003942  222WGEBUTURLINO                     ,S,Simulation application continuation,SEEUD        BT    UU2S    UN                                             E0133                                            
